Age,Gender,Height,Weight,family_history_with_overweight,FAVC,FCVC,NCP,CAEC,SMOKE,CH2O,SCC,FAF,TUE,CALC,MTRANS,Obesity_level
18,Male,1.87,67,yes,yes,3,3,Frequently,no,3,yes,1,1,Sometimes,Automobile,Normal_Weight
18,Male,1.7,50,no,yes,1,3,Frequently,no,1,no,2,1,Sometimes,Public_Transportation,Insufficient_Weight
19,Female,1.5,50,no,yes,2,3,Frequently,no,1,no,0,2,Sometimes,Public_Transportation,Normal_Weight
18,Male,1.7,60,no,yes,2,3,Sometimes,no,2,no,2,1,no,Public_Transportation,Normal_Weight
18,Female,1.5,50,yes,yes,3,3,Frequently,no,2,no,0,1,Sometimes,Public_Transportation,Normal_Weight
18,Male,1.79,52,no,no,3,3,Sometimes,no,2,no,1,1,Sometimes,Public_Transportation,Insufficient_Weight
18,Male,1.7,55,yes,yes,2,3,Frequently,no,2,no,0,0,Sometimes,Public_Transportation,Normal_Weight
18,Female,1.62,55,yes,yes,2,3,Frequently,no,1,no,1,1,no,Public_Transportation,Normal_Weight
17,Male,1.69,60,no,no,2,3,Sometimes,no,3,no,2,1,Sometimes,Walking,Normal_Weight
18,Female,1.6,58,yes,yes,2,3,Sometimes,no,3,no,3,0,no,Public_Transportation,Normal_Weight
17,Female,1.56,51,no,yes,3,3,Sometimes,no,1,no,0,2,no,Public_Transportation,Normal_Weight
19,Male,1.88,79,no,no,2,3,Sometimes,no,3,no,3,0,Sometimes,Automobile,Normal_Weight
16,Male,1.82,71,yes,yes,2,3,Frequently,no,2,no,2,1,Sometimes,Public_Transportation,Normal_Weight
17,Male,1.8,58,no,yes,2,3,Frequently,no,2,no,2,1,no,Walking,Insufficient_Weight
19,Male,1.82,75,yes,no,2,3,Frequently,no,2,no,1,0,no,Public_Transportation,Normal_Weight
18,Male,1.8,80,yes,yes,2,3,Frequently,no,1,no,0,1,Frequently,Public_Transportation,Normal_Weight
16,Male,1.84,45,yes,yes,3,3,Always,no,3,no,3,2,Sometimes,Walking,Insufficient_Weight
17,Male,1.72,62,no,yes,2,3,Always,no,2,no,3,1,no,Public_Transportation,Normal_Weight
16,Female,1.6,57,no,yes,3,3,Sometimes,no,1,no,3,0,no,Public_Transportation,Normal_Weight
17,Male,1.66,56,yes,yes,1,3,Always,no,2,no,1,1,Sometimes,Public_Transportation,Normal_Weight
18,Male,1.8,72,yes,yes,2,3,Sometimes,no,2,no,3,0,Sometimes,Automobile,Normal_Weight
18,Male,1.7,55.3,yes,yes,3,3,Sometimes,no,2,no,3,0,Sometimes,Public_Transportation,Normal_Weight
19,Female,1.65,82,yes,yes,3,3,Sometimes,no,1,no,0,1,Sometimes,Public_Transportation,Obesity_Type_I
17,Male,1.74,56,yes,yes,2,3,Sometimes,no,2,no,2,1,no,Public_Transportation,Normal_Weight
18,Female,1.45,53,no,yes,2,3,Frequently,no,2,yes,1,2,Frequently,Public_Transportation,Overweight_Level_I
18,Male,1.78,64.4,yes,yes,3,3,Frequently,no,2,no,3,2,no,Walking,Normal_Weight
19,Female,1.53,42,no,no,2,3,Sometimes,no,1,yes,2,0,Frequently,Public_Transportation,Insufficient_Weight
18,Male,1.87,173,yes,yes,3,3,Frequently,no,2,no,2,1,Sometimes,Public_Transportation,Obesity_Type_III
17,Male,1.7,55,no,yes,3,3,Always,no,2,no,3,1,Sometimes,Public_Transportation,Normal_Weight
17,Male,1.8,97,yes,yes,2,3,Sometimes,no,3,no,1,1,Sometimes,Walking,Overweight_Level_II
18,Male,1.82,80,yes,yes,2,3,Sometimes,no,2,no,3,2,no,Walking,Normal_Weight
17,Male,1.75,70,yes,no,2,3,Sometimes,no,1,no,3,2,Sometimes,Walking,Normal_Weight
17,Female,1.6,53,no,yes,1,3,Sometimes,no,1,no,2,2,Sometimes,Walking,Normal_Weight
17,Female,1.6,59,no,yes,2,3,Sometimes,no,2,no,1,2,no,Public_Transportation,Normal_Weight
17,Male,1.9,60,no,no,3,3,Sometimes,no,2,no,3,1,no,Walking,Insufficient_Weight
17,Female,1.7,56,yes,yes,1,3,Sometimes,no,1,no,1,1,no,Automobile,Normal_Weight
19,Male,1.8,60,no,yes,2,3,Sometimes,no,1,no,1,1,no,Public_Transportation,Normal_Weight
18,Female,1.62,58,no,yes,3,3,Sometimes,no,1,no,0,2,no,Automobile,Normal_Weight
18,Male,1.73,70,no,yes,3,3,Frequently,no,1,no,2,1,Sometimes,Public_Transportation,Normal_Weight
17,Male,1.7,70,yes,yes,3,3,Sometimes,no,2,no,0,2,Sometimes,Walking,Normal_Weight
17,Male,1.7,98,yes,no,2,3,Sometimes,no,2,no,0,1,Sometimes,Automobile,Obesity_Type_I
16,Female,1.55,45,no,yes,2,3,Frequently,no,2,no,1,1,no,Public_Transportation,Normal_Weight
18,Female,1.59,53,no,no,1,3,Sometimes,no,1,no,1,2,no,Public_Transportation,Normal_Weight
18,Male,1.78,108,yes,no,2,3,Sometimes,no,3,no,1,0,no,Public_Transportation,Obesity_Type_I
18,Female,1.7,50,no,no,2,3,Sometimes,no,2,no,0,1,Sometimes,Walking,Insufficient_Weight
18,Male,1.76,69.5,no,no,3,3,Frequently,no,3,no,2,2,no,Public_Transportation,Normal_Weight
18,Male,1.7,78,no,yes,1,3,Sometimes,no,2,no,0,1,Sometimes,Public_Transportation,Overweight_Level_II
17,Female,1.53,55,yes,yes,2,3,Sometimes,no,1,no,0,1,no,Public_Transportation,Normal_Weight
18,Male,1.65,70,yes,no,2,3,Sometimes,no,2,no,0,0,no,Public_Transportation,Overweight_Level_I
18,Male,1.74,86,no,no,3,3,Sometimes,no,2,no,3,0,no,Public_Transportation,Overweight_Level_II
19,Female,1.51,59,yes,yes,3,3,Frequently,no,1,no,1,2,Sometimes,Walking,Overweight_Level_I
14,Male,1.71,72,yes,yes,3,3,Sometimes,no,3,no,2,1,no,Walking,Normal_Weight
18,Male,1.77,87,yes,yes,3,3,Sometimes,no,2,no,1,1,Frequently,Public_Transportation,Overweight_Level_II
18,Male,1.7,90,no,yes,3,3,Sometimes,no,2,no,2,0,Sometimes,Public_Transportation,Obesity_Type_I
19,Male,1.75,58,no,yes,2,3,Sometimes,no,2,no,2,0,Sometimes,Bike,Normal_Weight
19,Female,1.61,53.8,yes,yes,2,3,Always,no,2,no,2,1,Sometimes,Public_Transportation,Normal_Weight
18,Male,1.65,85,no,yes,2,3,Sometimes,no,1,no,1,0,Sometimes,Public_Transportation,Obesity_Type_I
19,Male,1.8,70,no,yes,3,3,Frequently,no,1,no,2,0,no,Public_Transportation,Normal_Weight
18,Female,1.64,59,yes,yes,2,3,Sometimes,no,1,no,1,1,Sometimes,Public_Transportation,Normal_Weight
18,Female,1.56,55,no,yes,2,3,Sometimes,no,1,no,0,0,Frequently,Automobile,Normal_Weight
19,Female,1.67,64,no,yes,3,3,Sometimes,no,2,no,2,1,Sometimes,Automobile,Normal_Weight
19,Female,1.6,60,no,yes,2,3,Frequently,no,2,no,0,1,Sometimes,Public_Transportation,Normal_Weight
18,Female,1.55,56,no,yes,2,3,Sometimes,no,1,no,0,0,no,Automobile,Normal_Weight
18,Female,1.55,50,yes,yes,3,3,Frequently,no,1,no,1,2,no,Public_Transportation,Normal_Weight
18,Male,1.72,53,yes,yes,2,3,Sometimes,no,2,no,0,2,Sometimes,Public_Transportation,Insufficient_Weight
19,Male,1.83,82,yes,yes,3,3,Frequently,no,2,no,2,0,Sometimes,Public_Transportation,Normal_Weight
18,Female,1.63,63,yes,yes,1,3,Sometimes,no,2,no,2,2,Sometimes,Public_Transportation,Normal_Weight
19,Male,1.71,71,no,yes,3,3,Sometimes,no,2,no,1,1,Sometimes,Public_Transportation,Normal_Weight
19,Male,1.7,65,yes,no,2,3,Frequently,no,2,no,1,0,no,Public_Transportation,Normal_Weight
18,Female,1.62,50,no,yes,3,3,Sometimes,no,1,no,0,0,Sometimes,Automobile,Normal_Weight
18,Male,1.85,66,no,yes,2,3,Frequently,no,1,no,1,1,Sometimes,Public_Transportation,Normal_Weight
19,Female,1.5,45,no,yes,2,3,Sometimes,no,1,no,0,0,Sometimes,Public_Transportation,Normal_Weight
19,Male,1.69,60,no,yes,2,3,Always,no,1,no,1,1,Sometimes,Public_Transportation,Normal_Weight
19,Male,1.76,79,yes,yes,2,3,Frequently,no,3,no,1,2,Frequently,Public_Transportation,Overweight_Level_I
18,Female,1.62,55,yes,yes,2,3,Frequently,no,1,no,1,1,no,Public_Transportation,Normal_Weight
17,Male,1.8,68,yes,no,2,3,Sometimes,no,1,no,2,1,Sometimes,Public_Transportation,Normal_Weight
18,Female,1.6,51,yes,yes,2,3,Frequently,no,1,no,1,1,Sometimes,Public_Transportation,Normal_Weight
18,Female,1.6,83,yes,yes,2,3,Sometimes,no,2,yes,1,0,no,Public_Transportation,Obesity_Type_I
18,Female,1.63,51,yes,yes,1,3,Frequently,no,1,no,1,0,Sometimes,Public_Transportation,Normal_Weight
19,Male,1.78,64,no,yes,2,3,Sometimes,no,1,no,1,0,no,Public_Transportation,Normal_Weight
18,Female,1.71,75,yes,yes,3,3,Sometimes,no,2,no,1,0,no,Public_Transportation,Overweight_Level_I
18,Female,1.64,56,yes,yes,3,3,Frequently,no,1,yes,1,1,no,Public_Transportation,Normal_Weight
19,Male,1.69,65,no,yes,2,3,Frequently,no,1,no,1,1,Sometimes,Public_Transportation,Normal_Weight
18,Female,1.57,50,no,yes,2,3,Sometimes,no,1,no,0,1,Sometimes,Public_Transportation,Normal_Weight
18,Female,1.5,58,no,yes,2,3,Sometimes,no,1,no,0,0,no,Public_Transportation,Overweight_Level_I
18,Female,1.67,66,no,yes,3,3,Sometimes,no,2,no,0,0,Sometimes,Public_Transportation,Normal_Weight
18,Male,1.72,53,yes,yes,2,3,Sometimes,no,2,no,0,2,Sometimes,Public_Transportation,Insufficient_Weight
18.503343,Female,1.683124,126.67378,yes,yes,3,3,Sometimes,no,1.115967,no,1.541072,1,Sometimes,Public_Transportation,Obesity_Type_III
18.306615,Female,1.7456,133.03441,yes,yes,3,3,Sometimes,no,2.984323,no,1.586525,0.62535,Sometimes,Public_Transportation,Obesity_Type_III
19.799054,Male,1.743702,54.927529,yes,yes,2,3.28926,Sometimes,no,2.847264,no,1.680844,2,Sometimes,Public_Transportation,Insufficient_Weight
18.535075,Female,1.688025,45,no,yes,3,3,Sometimes,no,3,yes,2.539762,1.283673,no,Public_Transportation,Insufficient_Weight
18.216032,Male,1.755507,52,yes,yes,3,3,Frequently,no,2,no,0.658894,1,no,Public_Transportation,Insufficient_Weight
18.164768,Male,1.694265,52,yes,yes,3,3,Frequently,no,2,no,0.819682,1,no,Public_Transportation,Insufficient_Weight
19.717249,Female,1.688426,49.660995,no,no,2.714447,3,Frequently,no,2,no,1.903182,1,Sometimes,Public_Transportation,Insufficient_Weight
19.633898,Female,1.66084,49.039794,no,no,2.750715,3,Frequently,no,2,no,1.067817,1,Sometimes,Public_Transportation,Insufficient_Weight
19.058511,Female,1.662017,49.838965,no,yes,1.4925,3,Sometimes,no,1.049134,no,2,1,Sometimes,Public_Transportation,Insufficient_Weight
18.827008,Female,1.7,50,no,yes,1,3.240578,Sometimes,no,1,no,2,1,Sometimes,Public_Transportation,Insufficient_Weight
19.314964,Female,1.661403,49.932199,no,yes,2.205439,3,Sometimes,no,1.530531,no,2,1,Sometimes,Public_Transportation,Insufficient_Weight
18,Male,1.753349,51.457226,no,yes,2.823179,3,Sometimes,no,1.773236,no,1.252472,1,Sometimes,Public_Transportation,Insufficient_Weight
18,Male,1.781543,50.869704,no,yes,2.052932,3,Sometimes,no,2,no,0.520408,1,Sometimes,Public_Transportation,Insufficient_Weight
18,Male,1.755823,52.331172,no,yes,2.596364,3,Sometimes,no,2,no,0.281734,1.488372,Sometimes,Public_Transportation,Insufficient_Weight
18.426619,Male,1.777108,57.145917,yes,yes,2,3.092116,Sometimes,no,2.426465,no,2,1.839862,no,Automobile,Insufficient_Weight
17.082867,Female,1.640824,43.365005,no,yes,2.815157,3,Sometimes,no,2.911187,no,2.595128,1.380204,Sometimes,Public_Transportation,Insufficient_Weight
17.000433,Female,1.584951,44.411801,no,yes,2.737762,3,Sometimes,no,2.310921,no,2.240714,1.59257,Sometimes,Public_Transportation,Insufficient_Weight
16.270434,Female,1.818268,47.124717,no,yes,3,3.286431,Sometimes,no,2.148146,no,2.458237,1.273333,Sometimes,Public_Transportation,Insufficient_Weight
19.504696,Female,1.590317,42.367615,no,no,2.959658,3,Frequently,no,1,no,1.522399,0,Sometimes,Public_Transportation,Insufficient_Weight
17,Male,1.848294,59.409018,yes,yes,2.44004,3,Sometimes,no,2,no,2.784471,1,no,Automobile,Insufficient_Weight
17,Male,1.824414,59.295172,yes,yes,2.432302,3,Sometimes,no,2,no,2.349495,1,no,Automobile,Insufficient_Weight
18.525525,Male,1.856633,59.258372,yes,yes,2.592247,3.304123,Sometimes,no,2.036764,no,2.038653,1.119877,no,Automobile,Insufficient_Weight
17.402028,Female,1.710756,50,no,yes,2.015258,3.300666,Sometimes,no,1.315608,no,0.069802,1,Sometimes,Public_Transportation,Insufficient_Weight
18,Female,1.7,50,no,yes,1.031149,3,Sometimes,no,1.963628,no,0.028202,1,Sometimes,Public_Transportation,Insufficient_Weight
19.94814,Female,1.530884,39.371523,no,yes,1.522001,3,Sometimes,no,1.98126,no,2.306844,0.720454,Sometimes,Public_Transportation,Insufficient_Weight
18,Male,1.7108,50.92538,yes,yes,2,3,Sometimes,no,2,no,0,1.593704,Sometimes,Public_Transportation,Insufficient_Weight
18,Male,1.70653,51.121749,yes,yes,2,3,Sometimes,no,2,no,0,1.329237,Sometimes,Public_Transportation,Insufficient_Weight
18,Male,1.716691,51.149283,yes,yes,1.813234,3,Sometimes,no,1.274815,no,0.520407,1.673584,Sometimes,Public_Transportation,Insufficient_Weight
19.010211,Female,1.555431,44.188767,no,no,2.724285,3,Frequently,no,1,yes,1.070331,0,Sometimes,Public_Transportation,Insufficient_Weight
19.091346,Female,1.603923,45,no,no,3,3,Frequently,no,1.28246,yes,1.60195,0,Sometimes,Public_Transportation,Insufficient_Weight
19.773303,Female,1.602082,45,no,no,3,3,Frequently,no,2.875583,yes,1.258504,0,Sometimes,Public_Transportation,Insufficient_Weight
18,Male,1.717826,51.7325,yes,yes,1.133844,3,Sometimes,no,1.325326,no,0.227985,1.708309,Sometimes,Public_Transportation,Insufficient_Weight
18.424941,Male,1.753389,54.121925,yes,yes,2,3.16645,Sometimes,no,2.278578,no,1.838881,2,Sometimes,Public_Transportation,Insufficient_Weight
18,Male,1.70165,50.157707,yes,yes,1.757466,3,Sometimes,no,1.153559,no,0.833976,1.616045,Sometimes,Public_Transportation,Insufficient_Weight
19.376997,Female,1.600264,45,no,no,3,3,Frequently,no,2.949419,yes,1.295697,0,Sometimes,Public_Transportation,Insufficient_Weight
19.931667,Female,1.653209,49.026214,no,no,2.530066,3,Sometimes,no,1.965237,no,2,1,Sometimes,Public_Transportation,Insufficient_Weight
18.006742,Female,1.7,50,no,yes,1.003566,3.238258,Frequently,no,1.014634,no,0.783676,1,Sometimes,Public_Transportation,Insufficient_Weight
18,Male,1.788459,51.552595,no,yes,2.897899,3,Sometimes,no,1.835545,no,1.162519,1,Sometimes,Public_Transportation,Insufficient_Weight
16.611837,Female,1.830068,43.534531,no,yes,2.945967,3,Sometimes,no,2.953192,no,2.830911,1.466667,Sometimes,Public_Transportation,Insufficient_Weight
19,Female,1.540375,42.006282,no,no,2.938031,2.705445,Frequently,no,1.333807,yes,1.877369,0.370973,Sometimes,Public_Transportation,Insufficient_Weight
17.06713,Male,1.896734,59.895052,yes,yes,2.842102,3.34175,Sometimes,no,2,no,2.511157,0.560351,no,Automobile,Insufficient_Weight
18,Female,1.704193,50.631889,no,yes,2,3,Sometimes,no,2,no,0,1.525597,Sometimes,Public_Transportation,Insufficient_Weight
19.054008,Female,1.556611,39.695295,no,yes,1.889199,2.217651,Sometimes,no,2.013605,no,2.075293,1.683261,Sometimes,Public_Transportation,Insufficient_Weight
18,Male,1.721854,52.514302,yes,yes,2.33998,3,Sometimes,no,2,no,0.027433,1.884138,Sometimes,Public_Transportation,Insufficient_Weight
18,Male,1.71889,52.058335,yes,yes,1.950742,3,Sometimes,no,1.751723,no,0.201136,1.743319,Sometimes,Public_Transportation,Insufficient_Weight
18.91505,Female,1.633316,45,no,yes,3,3,Sometimes,no,2.924594,yes,1.352558,0.220087,Sometimes,Public_Transportation,Insufficient_Weight
19.673262,Female,1.599486,44.810751,no,no,3,2.974568,Frequently,no,1.145761,yes,0.87967,0,Sometimes,Public_Transportation,Insufficient_Weight
18.909439,Female,1.732096,50,no,yes,1.053534,3.378859,Sometimes,no,1,no,1.853425,0.861809,Sometimes,Public_Transportation,Insufficient_Weight
18.068767,Male,1.787787,52,yes,yes,3,3,Sometimes,no,2,no,0.854337,1,Sometimes,Public_Transportation,Insufficient_Weight
18.038422,Male,1.698914,51.692272,yes,yes,2.824559,3,Sometimes,no,2,no,0.533309,1.099764,Sometimes,Public_Transportation,Insufficient_Weight
19.408999,Female,1.670552,49.804245,no,yes,2.794197,3.409363,Sometimes,no,1.543021,no,2,1,Sometimes,Public_Transportation,Insufficient_Weight
19.665881,Female,1.676346,49.105025,no,no,2.720701,3,Sometimes,no,2,no,1.862235,1,Sometimes,Public_Transportation,Insufficient_Weight
19.758286,Female,1.667404,49.125955,no,no,2.880792,3.281391,Sometimes,no,1.960131,no,1.513029,1,Sometimes,Public_Transportation,Insufficient_Weight
19.007177,Female,1.690727,49.895716,no,yes,1.212908,3.207071,Sometimes,no,1.029703,no,2,1,Sometimes,Public_Transportation,Insufficient_Weight
18.288205,Female,1.713564,50,no,yes,1.140615,3.471536,Sometimes,no,1,no,2,1,Sometimes,Public_Transportation,Insufficient_Weight
17.729923,Male,1.732862,51.216463,no,yes,2.051283,2.645858,Sometimes,no,2.35752,no,0.291309,0.897942,Sometimes,Public_Transportation,Insufficient_Weight
16.834813,Female,1.74402,50,no,yes,2.19005,3.420618,Sometimes,no,1.356405,no,1.351996,0.98468,Sometimes,Public_Transportation,Insufficient_Weight
17.521754,Male,1.757958,52.09432,no,yes,2.21498,2.64155,Sometimes,no,2.121251,no,0.998391,0.85882,Sometimes,Public_Transportation,Insufficient_Weight
18,Male,1.786758,51.524444,no,yes,2.91548,3,Sometimes,no,1.777486,no,1.077469,1,Sometimes,Public_Transportation,Insufficient_Weight
18,Male,1.767058,51.132809,yes,yes,2.708965,3,Sometimes,no,1.873004,no,1.21718,1,Sometimes,Public_Transportation,Insufficient_Weight
18.128249,Male,1.699437,52.08657,yes,yes,2.853513,3,Sometimes,no,2,no,0.680464,1.258881,Sometimes,Public_Transportation,Insufficient_Weight
19.72925,Male,1.793315,58.19515,yes,yes,2.508835,3.435905,Sometimes,no,2.076933,no,2.026668,1.443328,no,Automobile,Insufficient_Weight
18.595614,Female,1.609495,42.656563,no,yes,2.896562,2.625475,Sometimes,no,2.839558,yes,1.949667,1.253311,no,Public_Transportation,Insufficient_Weight
16.613108,Female,1.777929,44.762023,no,yes,2.911877,3.098399,Sometimes,no,2.196405,no,2.328147,1.55011,Sometimes,Public_Transportation,Insufficient_Weight
16.928791,Female,1.710948,45.248627,no,yes,2.910733,3.12544,Sometimes,no,2.204263,no,2.407906,1.403037,Sometimes,Public_Transportation,Insufficient_Weight
19.071027,Female,1.756865,49.699672,no,yes,1.69427,3.266644,Sometimes,no,1.095417,no,2,1,Sometimes,Public_Transportation,Insufficient_Weight
18.019572,Female,1.701378,50.088468,no,yes,1.601236,3.433908,Sometimes,no,1.055019,no,0.819269,1.030848,Sometimes,Public_Transportation,Insufficient_Weight
19.054938,Female,1.585886,42.541794,no,no,2.910345,3,Frequently,no,1,yes,1.461005,0,Sometimes,Public_Transportation,Insufficient_Weight
17,Male,1.844749,59.313525,yes,yes,2.432886,3,Sometimes,no,2,no,2.697949,1,no,Automobile,Insufficient_Weight
17.823438,Female,1.708406,50,no,yes,1.642241,3.45259,Sometimes,no,1.099231,no,0.418875,1,Sometimes,Public_Transportation,Insufficient_Weight
18,Female,1.763465,50.279053,no,yes,1.567101,3,Sometimes,no,1.994139,no,0.107981,1,Sometimes,Public_Transportation,Insufficient_Weight
18.281092,Female,1.7,50,no,yes,1.036414,3.205587,Sometimes,no,1.745959,no,0.115974,1,Sometimes,Public_Transportation,Insufficient_Weight
19.994543,Female,1.537739,39.101805,no,yes,1.118436,3,Sometimes,no,1.997744,no,2.432443,1.626194,Sometimes,Public_Transportation,Insufficient_Weight
17.000752,Male,1.822084,58.443049,yes,yes,2.559571,3.047959,Sometimes,no,2,no,2.011646,0.588994,no,Automobile,Insufficient_Weight
18,Male,1.707259,50.664459,yes,yes,1.786841,3,Sometimes,no,1.546856,no,0.512094,1.608265,Sometimes,Public_Transportation,Insufficient_Weight
18,Male,1.708107,51.314659,yes,yes,1.303878,3,Sometimes,no,1.755497,no,0.062932,1.672532,Sometimes,Public_Transportation,Insufficient_Weight
18,Male,1.739344,50.951444,yes,yes,1.889883,3,Sometimes,no,1.959531,no,0.520407,1.151166,Sometimes,Public_Transportation,Insufficient_Weight
19.029494,Female,1.573987,44.316254,no,no,2.984004,3,Frequently,no,1.015249,yes,1.327833,0,Sometimes,Public_Transportation,Insufficient_Weight
19.269079,Female,1.58092,44.753943,no,no,3,2.975362,Frequently,no,1.246822,yes,0.979701,0,Sometimes,Public_Transportation,Insufficient_Weight
19.946244,Female,1.603435,45,no,no,3,3,Frequently,no,2.487919,yes,1.230441,0,Sometimes,Public_Transportation,Insufficient_Weight
18,Male,1.719827,52.289828,yes,yes,1.202075,3,Sometimes,no,1.927976,no,0.023574,1.747256,Sometimes,Public_Transportation,Insufficient_Weight
18.381382,Male,1.722547,53.783977,yes,yes,2,3.131032,Sometimes,no,2.072194,no,1.487987,2,Sometimes,Public_Transportation,Insufficient_Weight
18,Male,1.738702,50.248677,yes,yes,1.871213,3,Sometimes,no,1.283738,no,0.684879,1.487223,Sometimes,Public_Transportation,Insufficient_Weight
19.114981,Male,1.855543,88.965521,yes,yes,2,3,Sometimes,no,1.015677,no,0,0.37465,Sometimes,Public_Transportation,Overweight_Level_I
19.637947,Male,1.809101,85,yes,yes,3,3,Sometimes,no,2.229171,no,1.607953,0.628059,Sometimes,Public_Transportation,Overweight_Level_I
18.128206,Male,1.778447,80.273807,yes,yes,1.570089,3,Sometimes,no,2,no,2.707882,0,no,Public_Transportation,Overweight_Level_I
19.816949,Male,1.806947,85.079589,yes,yes,2,3,Sometimes,no,2.292073,no,1.067817,0.19668,Sometimes,Public_Transportation,Overweight_Level_I
18.610761,Female,1.550723,60.628321,no,yes,2.823179,2.644692,Sometimes,no,1.226764,yes,0.747528,0.008899,Sometimes,Public_Transportation,Overweight_Level_I
17.451085,Female,1.6,65,yes,yes,3,2.449723,Sometimes,no,2,yes,0.479592,1.720642,Sometimes,Public_Transportation,Overweight_Level_I
18.026457,Male,1.752123,80,yes,yes,2,2.794156,Sometimes,no,2.377362,no,0.101236,0.105895,no,Public_Transportation,Overweight_Level_I
18.270434,Female,1.737165,76.699774,yes,yes,2.838969,3,Sometimes,no,2.425927,no,1,1.453335,Frequently,Public_Transportation,Overweight_Level_I
19.816228,Female,1.507853,64.259379,no,yes,2.568063,3,Sometimes,no,1.817983,yes,0,0,Sometimes,Public_Transportation,Overweight_Level_I
19.741202,Male,1.816783,86.522799,yes,yes,2,3,Sometimes,no,2.177386,no,0.336814,0.004813,Sometimes,Public_Transportation,Overweight_Level_I
19.21638,Male,1.812472,86.748295,yes,yes,2,3,Sometimes,no,2.168651,no,0.977998,0.142638,Sometimes,Public_Transportation,Overweight_Level_I
18.900253,Male,1.750359,79.828725,yes,yes,2,2.228113,Sometimes,no,2.045004,no,1.293665,0.961806,Frequently,Public_Transportation,Overweight_Level_I
19.789291,Male,1.820643,85,yes,yes,3,3,Sometimes,no,2.759246,no,1.763277,0.453314,Sometimes,Public_Transportation,Overweight_Level_I
19.895877,Male,1.80733,85.073801,yes,yes,2.801514,3,Sometimes,no,2.734782,no,2.207881,0.143675,Sometimes,Public_Transportation,Overweight_Level_I
19.693804,Male,1.8,85,yes,yes,2.188722,3,Sometimes,no,2.721356,no,1.528968,1,Sometimes,Public_Transportation,Overweight_Level_I
19.226314,Male,1.814255,85.255631,yes,yes,2.971351,3.390143,Sometimes,no,2.133767,no,2.318492,0.678618,Sometimes,Public_Transportation,Overweight_Level_I
18,Female,1.456346,55.523481,no,yes,2,3,Sometimes,no,1.040342,yes,0.497373,1.783319,Sometimes,Public_Transportation,Overweight_Level_I
18,Female,1.498561,55.376512,no,yes,2,3,Sometimes,no,1.274718,yes,0.129902,0.978574,Sometimes,Public_Transportation,Overweight_Level_I
18.83919,Female,1.624831,69.975607,yes,yes,2.253998,2.752318,Sometimes,no,2.328331,no,0.815509,0.024088,no,Public_Transportation,Overweight_Level_I
